"filename", "language", "JSON", "JSON with Comments", "TypeScript", "XML", "TypeScript JSX", "CSS", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\React——Editor\src\components\ifarm.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, -1, -20
"c:\Users\Lenovo\Desktop\React——Editor\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, -46, 0, 0, 0, 0, 0, -6, -52
"c:\Users\Lenovo\Desktop\React——Editor\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, -55, 0, 0, 0, 0, 0, -6, -61
"c:\Users\Lenovo\Desktop\React——Editor\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, -83, 0, 0, 0, 0, 0, -10, -93
"c:\Users\Lenovo\Desktop\React——Editor\src\index.css", "CSS", 0, 0, 0, 0, 0, -133, 0, 0, 0, -2, -9, -144
"c:\Users\Lenovo\Desktop\React——Editor\src\lib\utils.ts", "TypeScript", 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -2, -7
"c:\Users\Lenovo\Desktop\React——Editor\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -5, -11
"c:\Users\Lenovo\Desktop\React——Editor\src\pages\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, -274, 0, 0, 0, 0, -7, -17, -298
"c:\Users\Lenovo\Desktop\React——Editor\src\pages\EditorFilesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, -13, -33
"c:\Users\Lenovo\Desktop\React——Editor\src\pages\EditorSigelPage.tsx", "TypeScript JSX", 0, 0, 0, 0, -69, 0, 0, 0, 0, -9, -9, -87
"c:\Users\Lenovo\Desktop\React——Editor\src\pages\Preview.tsx", "TypeScript JSX", 0, 0, 0, 0, -83, 0, 0, 0, 0, -3, -6, -92
