"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "XML", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\React——Editor\client\tsconfig.app.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 31
"c:\Users\Lenovo\Desktop\React——Editor\client\tsconfig.json", "JSON with Comments", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Lenovo\Desktop\React——Editor\client\tsconfig.node.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\Lenovo\Desktop\React——Editor\client\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Lenovo\Desktop\React——Editor\client\vite.config.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\Lenovo\Desktop\React——Editor\server\README.md", "Markdown", 0, 0, 0, 0, 0, 0, -68, 0, 0, -2, -29, -99
"c:\Users\Lenovo\Desktop\React——Editor\server\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, -32, -1, -1, -34
"c:\Users\Lenovo\Desktop\React——Editor\server\nest-cli.json", "JSON", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9
"c:\Users\Lenovo\Desktop\React——Editor\server\package-lock.json", "JSON", -11259, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -11260
"c:\Users\Lenovo\Desktop\React——Editor\server\package.json", "JSON", -93, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -94
"c:\Users\Lenovo\Desktop\React——Editor\server\src\action.ts", "TypeScript", 0, -11, 0, 0, 0, 0, 0, 0, 0, -9, -1, -21
"c:\Users\Lenovo\Desktop\React——Editor\server\src\app.controller.ts", "TypeScript", 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, -3, -13
"c:\Users\Lenovo\Desktop\React——Editor\server\src\app.module.ts", "TypeScript", 0, -24, 0, 0, 0, 0, 0, 0, 0, -3, -2, -29
"c:\Users\Lenovo\Desktop\React——Editor\server\src\app.service.ts", "TypeScript", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -2, -9
"c:\Users\Lenovo\Desktop\React——Editor\server\src\auth\auth.controller.ts", "TypeScript", 0, -71, 0, 0, 0, 0, 0, 0, 0, -47, -23, -141
"c:\Users\Lenovo\Desktop\React——Editor\server\src\auth\auth.module.ts", "TypeScript", 0, -36, 0, 0, 0, 0, 0, 0, 0, -2, -4, -42
"c:\Users\Lenovo\Desktop\React——Editor\server\src\auth\auth.service.ts", "TypeScript", 0, -126, 0, 0, 0, 0, 0, 0, 0, -21, -26, -173
"c:\Users\Lenovo\Desktop\React——Editor\server\src\auth\decorators\current-user.decorator.ts", "TypeScript", 0, -8, 0, 0, 0, 0, 0, 0, 0, -9, -2, -19
"c:\Users\Lenovo\Desktop\React——Editor\server\src\auth\decorators\public.decorator.ts", "TypeScript", 0, -3, 0, 0, 0, 0, 0, 0, 0, -11, -3, -17
